gender,age,age_cat,educ,know_gov_name,know_sen1_name,know_sen2_name,know_house_name,knowledge,ability
Female,78,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,77,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,65,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,74,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,63,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,67,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,69,65+,PG,1,1,0,1,-0.3233082531361229,-0.3233082531361229
Female,61,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,75,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,64,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,60,55-64,2yr,0,0,1,0,-1.0233667840004859,-1.0233667840004859
Female,66,65+,PG,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,69,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,72,65+,2yr,1,0,1,1,-0.3679230807673252,-0.3679230807673252
Male,71,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,76,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,77,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,90,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,35,35-45,PG,0,0,1,0,-1.0233667840004859,-1.0233667840004859
Male,66,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,88,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,52,45-54,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,52,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,76,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,68,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,47,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,62,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,67,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,64,55-64,4yr,1,0,0,1,-0.7547958177793298,-0.7547958177793298
Male,74,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,40,35-45,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,51,45-54,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,81,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,66,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
