"eu_vote","party_id","income","gender","religion","age","ethnic_group","education","marital_status","social_class","region","wt_vote","ability"
"1","2","15","2","1","4","1","2","1","1","Eastern",1.06437169773943,-0.317754884940321
"2","2","14","2","1","3","1","3","1","1","Eastern",2.01380336134761,-0.72780497097891
"2","2","10","2","1","6","1","2","1","1","Eastern",0.954015277429776,0.839420258271681
"2","1","10","2","0","5","1","4","1","2","Eastern",0.683779307008508,0.839420258271681
"1","0","5","2","0","5","1","2","1","2","Eastern",1.62448203028274,0.839420258271681
"1","1","6","2","1","5","1","0","1","2","Eastern",0.812241015141369,-0.72780497097891
"2","0","8","2","1","1","1","2","2","2","Eastern",1.00587076817026,-0.290903410526972
"1","2","8","2","0","3","1","4","1","2","Eastern",0.801581134611753,-0.640977892727688
"0","1","14","2","0","2","1","4","3","2","Eastern",0.655072876023334,0.322001889012642
"1","2","1","2","1","6","1","0","3","1","Eastern",0.477007638714888,-1.20741027342236
"1","1","3","2","1","7","1","0","6","2","Eastern",0.781327906778087,-0.72780497097891
"0","0","12","1","0","1","1","4","3","2","Eastern",1.62898395460922,-1.20741027342236
"1","7","7","2","0","5","1","2","1","2","Eastern",0.817778894728769,-0.290903410526972
"1","2","9","2","0","5","1","4","6","2","Eastern",1.17480482127495,0.839420258271681
"1","1","10","2","1","6","1","1","4","1","Eastern",0.416453797343449,-0.640977892727688
"1","1","4","1","0","6","1","4","3","1","Eastern",0.322967407651592,0.839420258271681
"2","2","7","1","1","4","1","4","2","2","Eastern",0.938073833283071,0.322001889012642
"1","1","1","2","1","3","1","3","5","2","Eastern",1.5059932665423,-0.640977892727688
"1","1","4","2","1","5","1","3","5","2","Eastern",0.406120507570684,-0.72780497097891
"0","0","9","2","1","5","1","0","2","2","Eastern",0.695743875442941,-1.20741027342236
"1","2","8","2","1","5","1","2","1","2","Eastern",0.930343704803447,-1.20741027342236
"0","0","2","2","0","4","1","1","5","2","Eastern",1.59194948291387,-0.640977892727688
"2","2","6","2","1","8","1","3","4","2","Eastern",0.52239302789081,0.839420258271681
"2","1","15","1","0","5","1","5","1","1","Eastern",1.28573585553815,-0.290903410526972
"2","2","3","2","1","7","1","4","6","1","Eastern",0.428985967275067,-0.317754884940321
"2","1","1","2","1","6","1","3","5","1","Eastern",0.416453797343449,0.322001889012642
"2","2","12","1","0","3","1","3","1","2","Eastern",1.10197844816381,-0.00996496915823546
"1","2","7","2","0","2","1","2","1","2","Eastern",1.56785266837916,-1.20741027342236
"2","0","11","2","0","4","1","2","1","2","Eastern",1.59655754660914,-1.20741027342236
"0","6","13","1","0","1","1","3","3","1","Eastern",2.73316244783247,0.839420258271681
"2","3","5","1","0","5","1","5","3","1","Eastern",0.397994407010851,0.0665939642829392
"2","2","8","1","0","6","1","3","1","1","Eastern",0.969589342188505,0.839420258271681
"1","2","15","2","1","3","1","4","1","1","Eastern",0.400790567305877,-0.0781367647476091
"1","2","6","1","1","7","1","2","3","1","Eastern",0.571720029130829,0.0665939642829392
"2","0","9","1","1","5","1","4","1","1","Eastern",0.857157237025435,-0.640977892727688
"1","0","11","1","0","5","1","5","1","1","Eastern",0.857157237025435,-1.20741027342236
"2","2","5","2","1","5","1","4","1","1","Eastern",0.783203214183303,-0.640977892727688
"1","2","4","2","1","5","1","3","5","2","Eastern",0.930343704803447,-1.20741027342236
"2","2","5","2","1","8","1","4","4","1","Eastern",0.857971934550134,-0.290903410526972
"1","7","4","2","1","6","1","0","3","2","Eastern",0.832907594686897,0.839420258271681
"1","2","9","2","0","1","1","2","3","2","Eastern",2.30425580478753,-0.640977892727688
"1","1","4","1","1","7","1","0","1","2","Eastern",1.14344005826166,-0.290903410526972
"0","0","11","1","0","4","1","3","1","2","Eastern",1.74731261391799,0.0665939642829392
"1","0","7","2","0","3","1","2","1","2","Eastern",1.5059932665423,-0.72780497097891
"1","2","9","1","0","2","1","1","3","2","Eastern",0.857948637693093,0.839420258271681
"0","1","5","1","1","7","1","2","1","2","Eastern",1.71020970715278,-0.640977892727688
"0","0","4","2","0","1","1","2","3","2","Eastern",0.861601930210013,-1.20741027342236
"2","0","13","2","0","1","1","3","3","2","Eastern",1.72819185359065,0.322001889012642
"1","2","10","1","0","4","1","4","3","2","Eastern",0.469036916641535,0.322001889012642
"0","1","7","2","1","1","4","3","3","2","Eastern",1.72320386042003,-0.72780497097891
"0","0","5","1","1","2","3","3","3","2","Eastern",0.857948637693093,-0.72780497097891
"0","2","3","1","1","7","1","0","3","2","Eastern",0.571720029130829,0.322001889012642
"2","1","4","2","1","3","1","3","3","2","Eastern",0.439540160821976,0.839420258271681
"1","0","5","2","1","2","1","4","3","2","Eastern",0.655072876023334,-0.640977892727688
"1","2","14","2","1","7","1","4","3","1","Eastern",0.428985967275067,0.839420258271681
"2","3","11","2","1","3","1","4","2","2","Eastern",1.19890135698732,-0.640977892727688
"2","1","11","2","1","1","1","4","1","1","Eastern",0.579221989045065,-0.00996496915823546
"2","2","6","2","1","7","1","3","1","1","Eastern",1.04478605578162,-0.673286815884438
"0","1","8","2","0","2","1","4","1","2","Eastern",0.764759959222099,-0.640977892727688
"1","2","13","2","1","3","1","2","1","2","Eastern",1.0069016806738,-0.398214868178642
"2","3","8","1","1","3","1","4","1","1","Eastern",0.877270493982826,0.292189428889772
"1","1","6","1","1","7","1","0","1","2","Eastern",0.998285804354393,-0.317754884940321
"2","1","4","2","1","5","1","3","4","2","Eastern",0.695743875442941,-0.247353298644551
"1","0","6","2","0","2","1","3","2","2","Eastern",1.04826065422222,-0.640977892727688
"2","2","12","2","1","3","1","5","1","2","Eastern",0.801581134611753,-0.00996496915823546
"1","1","7","1","1","6","1","2","1","2","Eastern",0.905274050046703,0.839420258271681
"2","3","13","2","1","2","1","4","3","1","Eastern",0.437979368490883,0.37240049774067
"2","6","14","2","0","3","1","4","2","1","Eastern",1.1165680970553,-0.00996496915823546
"1","0","10","2","0","4","1","4","1","2","Eastern",2.1428461711359,-0.290903410526972
"2","1","4","2","0","4","1","2","6","1","Eastern",0.464627397270486,-0.72780497097891
"2","1","8","2","1","6","1","2","1","1","Eastern",0.416453797343449,0.839420258271681
"1","0","11","1","0","2","1","3","2","2","Eastern",1.06537325157691,-0.290903410526972
"0","0","7","2","0","3","1","2","5","2","Eastern",2.25898989981344,-0.290903410526972
"0","1","1","2","0","4","1","2","3","2","Eastern",0.795974741456935,-1.20741027342236
"0","2","13","1","0","1","1","2","3","1","Eastern",1.89137650031008,0.839420258271681
"2","3","4","1","1","6","1","3","1","2","Eastern",1.5616270711154,0.839420258271681
"0","0","4","2","1","8","1","2","4","1","Eastern",0.781327906778087,-0.72780497097891
"2","2","12","2","0","3","1","4","2","1","Eastern",0.400790567305877,0.292189428889772
"1","2","14","1","1","5","1","2","1","1","Eastern",1.52728721943171,0.0665939642829392
"2","1","12","2","0","4","1","3","1","1","Eastern",0.929254794540972,0.839420258271681
"1","2","13","2","1","7","1","2","1","1","Eastern",1.04478605578162,0.839420258271681
"2","2","15","1","1","4","1","4","1","1","Eastern",0.938073833283071,0.839420258271681
"2","2","6","1","0","5","1","2","4","2","Eastern",1.01819147962114,0.839420258271681
"2","1","8","1","1","5","1","4","6","2","Eastern",0.374172609941183,0.839420258271681
"2","1","10","2","0","4","1","2","6","2","Eastern",0.795974741456935,-0.290903410526972
"1","1","3","1","0","6","1","0","1","2","Eastern",0.911554957424154,0.0665939642829392
"1","1","7","1","0","1","1","4","3","2","Eastern",0.633915069247974,-1.20741027342236
"1","2","8","2","1","4","1","3","1","2","Eastern",1.06437169773943,-0.640977892727688
