"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"male",19,"uk",3,1,NA,9,5,5,5,2,5,4,5,4,6,5,6,5,4,48,NA,2,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",21,"uk",6,1,3,5,2,3,1,4,2,2,2,5,5,2,3,2,3,40,4,2,3,1,1,1,0,1,0,0,0,3,1,1,0.25,NA,NA,NA,NA,2,1,1,1
"male",23,"uk",7,0,NA,6,2,1,2,1,2,3,4,5,5,3,3,5,3,20,NA,4,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",41,"uk",7,1,3,NA,5,5,5,5,5,10,10,10,5,1,1,7,7,25,1,3,3,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.1342,1.1367,1.1376
"female",39,"spain",8,1,NA,6,4,3,5,4,5,5,5,5,10,2,6,NA,7,10,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",56,"uk",7,1,7,5,5,5,5,5,4,5,5,5,5,5,5,5,5,30,4,4,4,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"female",42,"romania",3,1,NA,5,5,3,5,5,5,7,7,10,5,1,5,3,7,10,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",33,"romania",6,1,NA,8,4,3,4,2,2,4,4,4,10,6,7,6,2,70,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",35,"germany",6,1,4,5,5,4,5,5,4,8,10,5,6,1,1,1,1,40,4,3,3,1,1,1,1,0,0,0,0,3,1,1,0.25,NA,NA,NA,NA,2,0.9768,0.985,1.0175
"female",26,"uk",7,0,NA,6,4,5,4,3,4,10,10,10,5,2,2,5,4,30,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",48,"uk",6,1,2,5,5,5,3,5,4,10,7,5,5,1,1,5,5,15,1,1,1,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1.1342,1.1367,1.1376
"female",59,"uk",3,0,7,3,4,5,4,4,5,6,10,6,6,4,4,6,5,80,1,5,5,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1
