age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,country,epcc_data$education_uk,education_fr,education_no,education_ge,survey_wt,knowledge,knowledge_binary
15-24,male,alevel,labour,9500_17499,2,0,0,0,7,2,2,1,1,4,4,3,2,NA,alevel,NA,NA,0.8901,-1.2965482561310893,0
65plus,male,degree,lib_dem,25000plus,3,1,1,1,1,3,5,5,5,2,4,3,2,NA,degree,NA,NA,0.9322,0.9984553862772432,1
25-34,female,degree,other,25000plus,3,1,1,1,2,2,3,3,4,4,1,2,2,NA,degree,NA,NA,0.9253,0.9984553862772432,1
55-64,male,no_qual,labour,up_to_9499,5,1,1,1,4,2,1,4,5,3,1,4,2,NA,no_qual,NA,NA,1.8125,0.9984553862772432,1
15-24,male,gcse,no_party,9500_17499,5,1,1,0,5,4,2,5,5,5,1,5,2,NA,gcse,NA,NA,0.7929,0.3531676391989697,0
65plus,female,gcse,labour,25000plus,2,1,0,0,3,4,3,4,5,4,5,4,2,NA,gcse,NA,NA,1.2493,-0.49018722391434655,0
45-54,female,no_qual,cons,25000plus,5,1,0,0,5,1,5,5,5,4,1,4,2,NA,no_qual,NA,NA,0.8323,-0.49018722391434655,0
45-54,male,gcse,labour,9500_17499,3,1,1,1,2,3,5,5,5,5,5,4,2,NA,gcse,NA,NA,1.0452,0.9984553862772432,1
65plus,female,degree,cons,25000plus,2,1,0,0,2,3,4,2,2,1,1,1,2,NA,degree,NA,NA,1.2493,-0.49018722391434655,0
35-44,male,degree,labour,25000plus,5,1,1,0,2,5,4,5,5,5,1,5,2,NA,NA,NA,NA,1.1352,0.3531676391989697,0
45-54,female,degree,cons,25000plus,3,1,0,0,2,3,1,4,4,5,1,3,2,NA,degree,NA,NA,0.8667,-0.49018722391434655,0
15-24,female,degree,labour,9500_17499,3,1,1,0,3,1,3,5,4,5,4,3,2,NA,degree,NA,NA,0.9004,0.3531676391989697,0
65plus,male,no_qual,other,up_to_9499,4,1,0,1,3,1,2,5,5,4,5,3,2,NA,no_qual,NA,NA,0.9409,0.12751998108451623,0
65plus,female,degree,cons,17500_24999,2,0,0,0,2,2,2,3,4,4,3,2,2,NA,degree,NA,NA,1.2493,-1.2965482561310893,0
45-54,female,alevel,labour,25000plus,3,1,0,0,3,1,1,3,4,4,1,1,2,NA,alevel,NA,NA,0.8667,-0.49018722391434655,0
35-44,female,degree,other,25000plus,4,1,0,0,1,2,2,4,4,3,4,3,2,NA,degree,NA,NA,1.1331,-0.49018722391434655,0
35-44,female,degree,no_party,25000plus,4,1,1,1,3,5,4,1,5,5,1,5,2,NA,degree,NA,NA,1.1085,0.9984553862772432,1
65plus,male,alevel,labour,17500_24999,4,1,0,0,3,3,2,4,4,2,3,4,2,NA,alevel,NA,NA,0.9409,-0.49018722391434655,0
