"vote20jb","apppres5","taxecon","billtax","trade2","trade4","richpoor2","immignum","refugees","dreamer","wall5","pathway","famsep","freecol","diversity5","gw1","gw2","prek","science","rr2","age","gender","educ","marstat","race","employ","faminc_new","ideology","party_id","vote16post","religpew","region","compl_data$weight","ability"
"3","0","4","6","1","1","3","3","2","2","1","4","4","3","0","4","3","2","2","1",29,"1","post_grad","married","white","full_time","6","liberal","democrat","other","christian","south",0.512553308873863,-0.866697231359771
"2","0","7","1","5","1","1","2","1","2","0","1","5","1","1","1","1","1","5","1",69,"0","post_grad","divorced","white","retired","4","liberal","democrat","clinton","christian","west",1.12291843396482,0.49232750386146
"1","1","2","1","4","3","1","4","2","2","1","1","5","2","1","1","1","4","4","2",74,"0","some_college","divorced","white","part_time","3","conservative","republican","trump","christian","northeast",0.978087269873647,-0.0381838482328011
"2","0","6","1","4","3","1","4","2","2","0","2","5","3","0","1","1","2","5","2",74,"1","high_school","married","white","retired","8","moderate","democrat","clinton","no_rel","midwest",1.02858846973928,0.829275858480006
"1","1","3","4","2","2","3","5","5","2","1","2","3","1","0","2","2","1","3","3",48,"0","four_yr_college","married","hispanic","full_time","3","conservative","republican","clinton","christian","south",1.16081841289456,-0.866697231359771
"4","0","4","6","4","3","3","6","4","2","0","2","2","2","1","1","2","1","1","2",30,"0","post_grad","married","hispanic","full_time","10","very conservative","independent","clinton","christian","south",1.23759485564508,-0.866697231359771
"4","1","3","4","3","3","4","4","4","2","1","2","4","4","0","3","1","4","3","4",65,"0","some_college","never_married","white","retired","3","moderate","independent","no_vote","no_rel","south",0.943888008360966,0.829275858480006
"1","1","4","5","3","4","5","7","7","1","1","5","3","7","0","5","5","7","3","4",66,"0","two_yr_college","widowed","white","other_empl","6","conservative","republican","trump","christian","south",0.964187113748541,-0.496169414435352
"1","1","1","2","2","1","2","7","4","1","1","5","3","4","0","3","3","4","3","1",81,"0","high_school","married","white","retired","4","conservative","republican","trump","christian","south",0.954396916008379,-0.866697231359771
"2","0","7","4","3","2","1","6","4","2","0","3","5","1","1","1","1","1","5","1",51,"0","some_college","never_married","black","unemployed","1","very_liberal","democrat","clinton","no_rel","south",0.884818557089412,0.829275858480006
"1","1","4","4","3","2","2","3","3","1","1","1","2","2","1","1","2","2","2","2",29,"1","four_yr_college","married","white","student","9","very conservative","democrat","trump","mormon","west",1.02692373072857,-0.866697231359771
"2","0","6","2","3","2","2","4","1","2","0","2","5","4","1","1","2","1","5","1",27,"0","four_yr_college","never_married","white","full_time","4","liberal","democrat","clinton","other_rel","west",1.28631448971959,-0.637029270556552
"3","0","6","1","4","4","1","4","2","2","0","2","5","3","0","1","2","3","4","4",39,"0","four_yr_college","divorced","white","full_time","4","conservative","republican","clinton","christian","northeast",1.08295150660022,-0.866697231359771
"3","0","4","4","3","3","1","4","1","2","0","3","5","2","1","1","1","4","4","1",32,"0","four_yr_college","never_married","black","unemployed","5","very_liberal","democrat","clinton","no_rel","midwest",1.2643077984045,-0.866697231359771
"2","0","7","1","2","2","1","4","3","2","0","1","5","3","1","2","1","2","5","2",71,"1","post_grad","married","white","homemaker","4","moderate","independent","no_vote","christian","west",0.886078329105804,0.49232750386146
"1","1","1","4","2","1","5","4","3","2","1","2","4","4","1","5","2","7","2","4",70,"1","post_grad","married","white","full_time","12","conservative","republican","trump","christian","northeast",0.862853007457012,0.49232750386146
"2","1","3","4","2","2","2","3","2","1","1","1","1","3","1","2","1","4","3","3",32,"0","no_hs","civil","hispanic","student","1","very conservative","democrat","no_vote","christian","south",0.750759633752783,-0.637029270556552
"4","0","4","4","3","3","3","4","4","2","0","3","3","4","0","3","3","4","3","3",26,"0","high_school","never_married","white","homemaker","4","moderate","independent","no_vote","no_rel","northeast",1.08673596743961,-0.866697231359771
"1","1","1","6","1","1","5","4","6","1","1","4","2","7","0","4","4","3","3","5",76,"1","high_school","married","hispanic","retired","4","conservative","republican","trump","christian","northeast",1.53150473801671,0.49232750386146
"4","0","1","1","4","4","1","6","5","2","0","1","5","4","1","1","1","1","5","5",68,"0","high_school","married","white","homemaker","3","liberal","independent","no_vote","christian","northeast",0.875772471178101,-0.866697231359771
"2","0","5","2","2","1","2","2","1","2","0","1","5","2","1","1","1","1","5","3",72,"0","some_college","widowed","white","retired","7","liberal","democrat","clinton","christian","south",1.02094882538262,-0.249543902218619
"3","0","6","2","4","3","3","4","4","2","0","1","5","4","0","1","3","1","3","2",79,"0","post_grad","married","hispanic","retired","7","moderate","democrat","clinton","christian","west",1.04218514159586,-0.866697231359771
"4","0","5","1","4","2","3","4","4","2","0","3","3","1","0","1","1","4","5","2",22,"0","some_college","civil","white","full_time","5","very_liberal","democrat","clinton","no_rel","midwest",1.08428147456979,-0.249543902218619
"4","0","2","3","3","4","5","2","1","2","0","1","5","7","0","2","1","5","1","2",66,"0","four_yr_college","married","white","retired","10","moderate","independent","no_vote","christian","south",0.945821151512883,-0.866697231359771
"2","0","5","1","4","2","2","4","2","2","0","2","4","5","0","1","1","3","4","4",68,"1","post_grad","married","white","retired","9","moderate","democrat","clinton","jewish","northeast",0.913649178546107,0.49232750386146
"4","0","4","3","3","4","2","4","4","2","0","1","5","2","1","2","2","1","2","2",19,"1","some_college","never_married","hispanic","unemployed","3","liberal","democrat","no_vote","no_rel","south",1.4594537392949,-0.866697231359771
"3","0","4","4","3","2","3","4","4","2","0","2","4","6","0","2","2","4","3","3",66,"0","some_college","never_married","white","retired","3","moderate","independent","clinton","no_rel","midwest",0.994619280227256,-0.496169414435352
"3","0","4","1","3","2","1","3","2","2","0","1","5","1","1","1","1","1","3","2",27,"0","two_yr_college","never_married","white","part_time","6","very_liberal","democrat","other","no_rel","midwest",0.608732494258821,-0.249543902218619
"2","0","4","1","2","2","2","3","1","2","0","2","5","2","1","1","1","1","5","2",71,"1","post_grad","divorced","white","retired","10","very_liberal","democrat","clinton","no_rel","west",0.996105650169966,0.829275858480006
"2","0","7","3","3","2","3","1","2","2","0","2","5","4","1","1","1","1","4","2",68,"0","post_grad","widowed","white","retired","7","moderate","independent","clinton","no_rel","northeast",1.02996454702489,0.829275858480006
"1","1","2","4","2","2","3","3","3","2","1","2","5","7","0","4","2","4","1","4",73,"0","some_college","married","white","retired","6","conservative","republican","trump","christian","northeast",0.978087269873647,-0.105261721136385
"2","0","4","1","3","4","5","3","2","2","0","2","5","3","1","1","1","2","5","1",23,"0","four_yr_college","never_married","asian","full_time","4","moderate","democrat","no_vote","no_rel","northeast",0.77435239235677,-0.637029270556552
"3","0","2","7","1","1","2","3","3","2","0","1","5","4","1","1","1","1","5","2",74,"0","post_grad","never_married","white","retired","4","moderate","democrat","clinton","christian","west",1.12291843396482,-0.866697231359771
"2","0","6","5","4","4","2","4","3","2","0","1","5","3","0","1","1","4","5","3",76,"0","four_yr_college","married","white","retired","6","moderate","democrat","clinton","no_rel","west",1.01524645761951,0.829275858480006
"2","0","7","2","5","1","2","2","2","2","0","2","5","6","0","1","2","1","4","4",66,"1","high_school","married","native_american","retired","3","moderate","democrat","clinton","no_rel","south",1.54472256124704,0.829275858480006
"2","0","5","6","4","1","1","2","1","2","0","1","5","3","1","1","1","2","3","1",67,"0","post_grad","divorced","white","retired","2","liberal","democrat","other","other_rel","south",0.648382578742927,0.185616560394241
"1","1","1","6","2","2","4","6","6","1","1","5","2","7","0","5","5","7","3","5",62,"0","post_grad","divorced","white","retired","6","conservative","republican","trump","christian","south",0.746904935636401,0.49232750386146
"2","0","5","1","4","2","2","3","1","2","0","2","5","1","1","1","1","1","5","1",66,"0","post_grad","married","white","retired","11","liberal","democrat","clinton","no_rel","west",1.12291843396482,0.49232750386146
"1","1","1","7","3","2","5","4","3","2","1","4","5","7","0","4","2","6","3","5",69,"0","four_yr_college","married","white","homemaker","11","very conservative","republican","trump","christian","midwest",0.958801780636491,0.829275858480006
"2","0","6","1","4","1","1","4","3","2","0","2","5","2","0","1","1","2","5","1",77,"1","two_yr_college","widowed","white","retired","4","moderate","democrat","clinton","no_rel","midwest",0.969411672498232,-0.180194977787794
"3","0","7","1","3","2","1","4","1","2","0","1","5","1","1","1","1","1","4","1",62,"1","four_yr_college","divorced","white","disabled","2","liberal","democrat","clinton","christian","west",1.18015681611182,-0.496169414435352
"2","0","6","2","4","2","1","3","2","2","0","2","2","4","1","1","1","2","4","1",65,"1","two_yr_college","civil","black","retired","10","moderate","independent","clinton","christian","south",0.693651696324809,0.829275858480006
"1","1","2","4","2","2","3","5","3","2","1","4","3","4","0","4","3","6","1","3",60,"1","two_yr_college","married","white","retired","6","moderate","democrat","trump","christian","south",0.820011188995185,-0.10812424631614
"2","0","6","1","4","1","1","3","2","2","0","1","5","2","1","1","1","1","4","1",70,"1","two_yr_college","married","black","retired","4","moderate","democrat","no_vote","christian","south",1.04281941711299,0.49232750386146
"3","0","5","1","5","3","1","2","4","2","0","1","5","2","0","1","2","2","4","2",74,"1","two_yr_college","divorced","white","retired","2","moderate","independent","other","no_rel","midwest",0.552088849248439,-0.105261721136385
"1","1","2","5","2","2","4","6","3","1","1","4","5","7","0","2","3","3","4","2",89,"0","post_grad","widowed","white","retired","8","very conservative","republican","trump","christian","south",0.880227416523168,-0.105261721136385
"1","1","2","3","2","2","5","4","2","2","1","2","5","7","0","5","3","7","2","4",69,"0","post_grad","married","white","retired","4","very conservative","republican","trump","christian","south",1.09069730256741,0.49232750386146
"2","0","5","1","5","4","1","5","4","1","0","2","5","3","0","1","1","3","4","1",67,"0","post_grad","widowed","black","retired","5","moderate","democrat","trump","christian","south",0.61252801267149,0.185616560394241
"3","0","1","2","5","2","4","4","2","2","1","2","5","7","1","2","2","4","4","2",62,"1","no_hs","divorced","white","full_time","8","moderate","independent","trump","no_rel","west",0.954805103801955,0.49232750386146
"1","1","3","4","2","2","5","5","5","2","1","5","3","7","0","4","4","4","2","5",61,"1","high_school","married","white","full_time","10","very conservative","republican","trump","no_rel","northeast",0.829993880619484,0.49232750386146
"2","0","4","1","4","2","2","4","2","2","0","2","5","5","1","2","2","3","4","3",40,"1","some_college","never_married","white","full_time","13","moderate","independent","clinton","other_rel","midwest",1.05546596271457,0.49232750386146
"1","1","4","5","4","2","4","4","5","2","1","4","2","7","1","5","4","7","1","4",29,"0","two_yr_college","married","white","part_time","9","very conservative","republican","trump","christian","west",1.02399865641126,-0.866697231359771
"1","1","1","7","1","1","5","7","7","1","1","2","2","7","0","5","5","7","1","5",63,"1","four_yr_college","married","mixed","retired","6","very_liberal","republican","clinton","no_rel","west",0.702988609018232,0.829275858480006
"2","0","7","1","4","4","1","1","1","2","0","1","5","1","1","1","1","1","5","1",42,"0","post_grad","married","white","full_time","8","very_liberal","democrat","clinton","no_rel","south",1.15605850208199,-0.866697231359771
"1","1","1","7","2","2","5","4","6","2","1","3","3","7","0","5","5","7","3","5",70,"1","two_yr_college","married","white","retired","5","very conservative","republican","trump","christian","west",0.891904784237684,0.49232750386146
"1","1","1","6","2","2","5","6","7","2","1","5","4","7","0","4","2","7","1","5",66,"0","high_school","married","white","retired","9","conservative","republican","trump","christian","northeast",0.929783697332345,0.185616560394241
