"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2","education_binary","gen_imm_sum","know_score_general","know_score_imm","know_score_general_binary","know_score_imm_binary","ps_value_general","weight.ATE_general","ps_value_imm","weight.ATE_imm"
"female",71,"sweden","3","0","2",0,3,3,3,3,3,9,8,7,8,1,1,6,6,10,3,3,3,0,1,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,0.9595,0.9311,0.8304,0,15,-0.605208346226583,0.543292489902306,0,1,0.276666241794416,1.3824876672157,0.337835238093651,2.96002277809395
"male",69,"sweden","6","1","5",9,5,5,5,5,5,8,9,8,6,1,2,6,6,20,1,2,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0136,1.0081,0.998,1,25,0.230219397408275,0.543292489902306,0,1,0.594920690692104,2.46865237750248,0.585805830630147,1.70705026770442
"male",37,"uk","4","1","7",5,5,5,5,5,5,7,7,6,7,1,1,6,7,9,2,3,3,0,0,1,0,0,0,1,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,25,-0.94861939049062,0.19884063021269,0,0,0.310828363267809,1.45101734705979,0.460870575179333,1.8548421843839
"female",40,"uk","5","0","7",5,5,3,4,5,5,7,8,7,5,1,1,6,6,15,2,2,2,0,0,1,0,0,0,1,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,0.8677,0.8704,0.83,0,NA,-0.94861939049062,0.19884063021269,0,0,0.210504785589717,1.26663212359932,0.397175800727641,1.65885842208566
"female",39,"uk","6","0","1",3,3,4,4,5,5,8,10,6,6,2,3,5,2,15,2,4,5,0,0,1,1,1,0,1,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,1.0403,1.0452,1.0807,1,21,-0.94861939049062,0.543292489902306,0,1,0.300844923160341,1.43029784539394,0.313489157988776,3.18990298234111
"male",73,"spain","6","0","1",5,3,4,4,3,4,8,8,8,6,1,4,1,5,5,2,1,2,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1,1,18,0.230219397408275,0.543292489902306,0,1,0.666161589370191,2.99546118169396,0.526787910310849,1.8982971712656
"female",73,"spain","4","0","2",9,3,4,3,4,4,2,5,1,5,5,7,5,4,30,3,1,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,18,-0.94861939049062,-0.941440527749612,0,0,0.325274792695614,1.4820848386488,0.425995664413905,1.7421471198104
"male",77,"spain","4","0","2",10,4,4,5,4,3,5,6,4,5,3,1,6,6,35,1,4,2,0,1,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,0.8062,0.8013,0.7907,0,20,-0.605208346226583,1.14645059101092,0,1,0.534508302688383,2.14826602875059,0.533649723706115,1.87388834956225
"male",78,"spain","6","0","3",9,5,5,4,4,5,9,5,3,2,1,1,6,4,12,4,3,3,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,1.0711,1.0782,1.0547,1,23,0.729090370818878,0.543292489902306,1,1,0.744763301348551,1.34270847957907,0.618296267901967,1.61734762429223
"male",57,"spain","7","0","2",2,2,4,4,3,3,5,5,7,8,1,4,5,4,7,3,2,2,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1.0893,1.0936,1.0673,1,16,0.729090370818878,1.14645059101092,1,1,0.566338072931847,1.76572977836922,0.428314109813864,2.33473513266835
"female",48,"spain","4","1","2",8,5,5,5,5,5,10,10,8,8,1,2,6,6,30,3,2,2,0,0,1,1,1,0,0,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,0.9513,0.9437,0.9324,0,25,-0.94861939049062,-0.504331780470674,0,0,0.239520165213694,1.31495925895392,0.366835472133833,1.57936832527575
"male",62,"spain","4","1","2",8,3,3,3,3,3,2,2,5,9,4,5,4,2,20,2,2,3,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,0,15,0.729090370818878,1.14645059101092,1,1,0.481814075984895,2.07548938448064,0.49629559554144,2.01492821814998
"female",35,"sweden","6","1","3",0,3,3,3,3,3,10,5,5,5,1,1,1,1,10,1,1,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,0.9122,0.9322,0.9673,1,15,-1.35759211319193,-0.941440527749612,0,0,0.361220578576004,1.56548562220548,0.336224456051048,1.5065333592298
