x01_1,x01_2,x01_3,x01_4,x01_5,x01_6,eu_vote,party_id,income,gender,religion,age,ethnic_group,education,marital_status,social_class,region,wt_vote,ability
1,0,1,1,1,0,1,7,6,1,0,2,1,1,1,1,East Midlands,1.89481374218246,0.009059745233523505
1,1,1,0,0,1,1,2,10,2,1,5,1,2,1,2,East Midlands,1.02735056585352,-0.350184702862402
1,1,1,1,1,1,1,2,8,1,0,7,1,5,6,1,East Midlands,2.07378798375629,1.0073761227189837
1,0,1,1,1,0,1,0,8,1,0,3,1,3,1,2,East Midlands,1.82005413814081,0.009059745233523505
1,0,1,0,1,1,2,2,14,2,0,3,1,4,2,1,East Midlands,0.885161933131879,-0.31929598673165877
1,0,1,0,1,1,2,2,13,1,0,4,1,2,2,1,East Midlands,1.2863365036408,-0.31929598673165877
1,1,1,1,1,1,1,2,8,1,0,6,1,4,1,1,East Midlands,0.817000724705732,1.0073761227189837
1,1,1,0,0,1,2,1,12,2,0,5,1,3,1,2,East Midlands,0.954036812821082,-0.350184702862402
1,0,1,0,1,1,2,0,13,2,1,4,1,4,1,2,East Midlands,0.826357019426076,-0.31929598673165877
1,1,1,0,1,0,1,6,12,2,1,7,1,0,1,1,East Midlands,1.00032544403397,-0.26893785481927324
1,1,1,0,1,1,1,1,11,1,0,6,1,4,1,1,East Midlands,0.713286384999419,0.10198396588856312
1,1,1,0,0,1,2,0,10,2,0,4,1,4,6,1,East Midlands,1.41567053245867,-0.350184702862402
1,1,1,1,1,1,1,2,6,1,1,5,1,4,1,1,East Midlands,0.9465329511415,1.0073761227189837
1,0,0,0,0,0,2,2,6,2,0,4,1,4,3,1,East Midlands,0.707835266229335,-1.3322879951954447
1,0,1,0,1,1,2,2,13,2,0,4,1,4,1,1,East Midlands,1.41976833835961,-0.31929598673165877
1,0,1,0,0,1,2,2,13,2,1,5,1,0,6,2,East Midlands,0.76828903171483,-0.8119912597841162
1,1,1,0,0,1,1,2,6,2,1,4,1,2,5,2,East Midlands,0.587676823256462,-0.350184702862402
1,1,1,1,1,1,2,6,10,2,0,3,1,5,3,1,East Midlands,0.383735024014026,1.0073761227189837
0,0,0,0,0,1,0,0,6,1,0,1,1,2,2,2,East Midlands,2.08256197865916,-0.8119912597841162
1,1,1,1,1,1,2,2,13,1,0,5,1,4,1,1,East Midlands,0.9465329511415,1.0073761227189837
0,1,1,0,0,1,1,2,14,1,0,5,1,0,1,1,East Midlands,1.12435822087602,-0.350184702862402
1,1,1,1,1,1,2,0,5,2,0,4,1,4,1,4,East Midlands,0.826357019426076,1.0073761227189837
1,0,1,1,1,1,0,2,13,1,1,3,3,4,1,1,Eastern,0.382952597468653,0.4077488558446815
1,0,1,0,1,1,0,0,5,2,1,3,4,0,3,2,Eastern,3.01198653308459,-0.31929598673165877
1,0,1,0,0,1,1,1,7,2,1,4,3,5,3,2,Eastern,0.374164416945872,-0.8119912597841162
1,0,1,1,0,0,2,1,3,1,0,1,1,3,2,2,Eastern,1.10085019166901,-0.44391011316283324
1,0,1,0,1,0,2,2,1,2,1,6,1,4,6,1,Eastern,0.338011261418812,-0.7159648149255413
1,1,1,1,1,1,1,2,4,2,1,7,1,0,4,2,Eastern,0.52239302789081,1.0073761227189837
1,1,1,1,1,0,1,0,5,2,0,2,1,3,2,2,Eastern,1.56785266837916,0.4681354858055186
1,0,1,0,1,0,0,2,8,2,1,7,1,0,4,1,Eastern,0.781327906778087,-0.7159648149255413
1,1,1,1,1,1,2,3,3,2,1,4,1,5,1,1,Eastern,0.795971384812702,1.0073761227189837
1,1,0,0,1,1,1,2,5,1,1,6,1,2,1,1,Eastern,0.52204912114314606,0.10198396588856312
0,0,1,0,0,0,0,1,6,2,1,4,1,2,4,2,Eastern,0.464627397270486,-1.3322879951954447
1,1,0,0,1,1,1,1,8,2,1,4,1,0,1,2,Eastern,1.59194948291387,0.10198396588856312
1,1,1,1,1,1,2,1,10,1,0,5,1,2,6,2,Eastern,0.444468467269572,1.0073761227189837
1,0,1,0,0,1,2,2,7,2,1,2,1,5,3,1,Eastern,1.31393810547265,-0.8119912597841162
1,0,1,0,0,0,1,2,6,2,1,4,1,1,1,1,Eastern,1.59655754660914,-1.3322879951954447
1,1,1,1,0,1,2,3,3,1,1,3,1,4,1,1,Eastern,0.438635246991413,0.3719916958057807
1,0,1,0,0,0,2,2,4,2,1,4,1,1,5,2,Eastern,0.532185848869714,-1.3322879951954447
1,0,1,0,0,1,1,7,15,2,0,3,1,2,1,2,Eastern,1.0069016806738,-0.8119912597841162
1,0,1,0,0,0,1,1,14,2,1,3,1,2,1,2,Eastern,0.879080321643952,-1.3322879951954447
1,1,1,1,1,1,1,2,6,1,0,6,1,4,1,1,Eastern,0.739856000778418,1.0073761227189837
1,0,1,0,0,0,0,2,7,1,1,5,1,2,1,1,Eastern,1.52287908719554,-1.3322879951954447
1,0,1,1,0,1,1,1,3,2,1,5,1,0,6,2,Eastern,0.406120507570684,-0.07169754637681017
1,1,1,1,1,1,1,2,15,1,1,3,1,4,1,1,Eastern,0.877270493982826,1.0073761227189837
1,1,1,0,0,1,1,2,4,2,1,6,1,1,1,2,Eastern,0.954015277429776,-0.350184702862402
1,0,1,0,1,0,2,1,5,2,0,1,1,3,3,1,Eastern,1.00587076817026,-0.7159648149255413
1,0,1,0,0,1,1,7,12,1,1,6,1,1,6,1,Eastern,0.52204912114314606,-0.8119912597841162
1,1,1,1,1,1,1,2,9,2,0,3,1,3,1,2,Eastern,0.439540160821976,1.0073761227189837
1,1,1,1,1,1,1,1,5,2,1,7,1,2,1,2,Eastern,0.918374555031392,1.0073761227189837
1,0,1,1,0,0,2,1,14,2,1,8,1,0,4,2,Eastern,0.781327906778087,-0.44391011316283324
1,0,1,1,0,0,1,1,5,2,0,6,1,0,6,2,Eastern,0.419293189765662,-0.44391011316283324
1,1,1,0,1,0,1,1,8,2,0,2,1,0,2,2,Eastern,2.35177900256873,-0.26893785481927324
1,1,1,0,1,1,0,2,12,1,1,5,1,2,3,2,Eastern,1.52287908719554,0.10198396588856312
1,1,1,1,1,1,2,2,12,2,1,7,1,4,3,1,Eastern,0.428985967275067,1.0073761227189837
1,1,1,1,1,1,2,3,15,2,1,4,1,4,3,1,Eastern,0.374164416945872,1.0073761227189837
1,0,1,1,1,1,1,1,3,2,1,5,1,0,6,2,Eastern,0.406120507570684,0.4077488558446815
1,0,1,0,0,1,1,2,10,2,0,2,1,2,1,2,Eastern,3.13570533675831,-0.8119912597841162
1,1,1,1,0,1,1,2,4,2,0,8,1,3,4,1,Eastern,0.52239302789081,0.3719916958057807
1,1,1,1,1,1,1,2,7,2,1,5,1,0,1,2,Eastern,1.86068740960689,1.0073761227189837
1,1,1,1,0,1,2,0,4,2,1,6,1,4,1,1,Eastern,1.35204504567525,0.3719916958057807
1,1,1,1,1,1,1,2,5,1,0,6,1,3,1,1,Eastern,2.08819648457258,1.0073761227189837
1,1,1,0,1,1,1,1,4,1,0,6,1,0,2,2,Eastern,0.52204912114314606,0.10198396588856312
1,1,1,0,1,0,0,1,3,2,1,6,1,0,6,2,Eastern,0.713446313361141,-0.26893785481927324
1,0,1,1,1,1,1,1,4,2,1,5,1,0,4,2,Eastern,0.406120507570684,0.4077488558446815
1,0,1,0,1,0,0,1,3,1,1,5,1,2,2,2,Eastern,1.52287908719554,-0.7159648149255413
1,1,1,1,1,1,1,2,12,2,1,6,1,4,1,2,Eastern,0.676022522837623,1.0073761227189837
1,0,0,1,1,0,2,3,4,2,1,8,1,2,3,1,Eastern,0.9121554562815,0.009059745233523505
1,0,1,1,1,1,1,2,8,2,0,2,1,4,3,2,Eastern,0.437979368490883,0.4077488558446815
0,0,1,0,0,0,2,0,5,2,1,2,3,4,1,2,Eastern,0.764759959222099,-1.3322879951954447
0,0,0,0,0,0,0,0,11,1,1,1,1,4,3,2,Eastern,1.08598930307282,-1.3322879951954447
1,1,1,1,1,1,2,2,2,1,1,5,1,0,3,2,Eastern,0.50909573981057,1.0073761227189837
1,0,1,0,1,1,1,2,5,1,0,4,1,0,2,2,Eastern,1.16487507594533,-0.31929598673165877
1,0,1,0,0,1,2,3,6,1,1,8,1,0,4,2,Eastern,0.499142902177197,-0.8119912597841162
0,0,1,0,1,0,0,2,6,1,0,4,1,0,3,2,Eastern,0.871134716729571,-0.7159648149255413
0,0,1,0,1,0,2,0,4,2,0,4,1,0,1,2,Eastern,1.59194948291387,-0.7159648149255413
1,1,0,0,1,1,2,1,4,2,0,2,1,2,2,2,Eastern,0.915188971046019,0.10198396588856312
1,1,1,1,1,1,1,1,3,1,1,6,1,2,1,2,Eastern,0.911554957424154,1.0073761227189837
0,0,0,0,0,1,0,1,6,1,0,3,1,0,2,2,Eastern,2.47229519226574,-0.8119912597841162
1,1,1,1,0,1,1,2,7,2,1,5,1,3,1,2,Eastern,0.930343704803447,0.3719916958057807
0,1,1,1,0,0,1,2,10,1,1,2,1,4,1,1,Eastern,0.958671207092177,-0.021614839243643102
1,1,1,1,1,1,0,2,3,2,1,7,1,0,4,1,Eastern,0.781327906778087,1.0073761227189837
1,1,1,1,1,1,2,1,7,1,1,4,1,4,2,1,Eastern,1.22848476109865,1.0073761227189837
1,1,1,1,1,1,2,0,5,2,0,4,1,4,1,1,Eastern,0.374164416945872,1.0073761227189837
1,1,1,1,0,1,2,2,3,1,0,2,1,5,3,1,Eastern,0.479335603546089,0.3719916958057807
1,1,1,1,1,1,2,2,5,2,0,5,1,4,6,1,Eastern,0.363656147709369,1.0073761227189837
1,1,1,1,1,1,2,3,7,2,0,3,1,4,1,2,Eastern,0.400790567305877,1.0073761227189837
1,0,1,1,1,0,1,0,2,1,0,3,1,0,1,2,Eastern,1.64819679484383,0.009059745233523505
0,1,1,0,1,1,0,2,12,2,1,1,1,2,3,1,Eastern,1.72819185359065,0.10198396588856312
1,0,1,0,1,1,2,0,6,2,0,4,1,4,5,2,Eastern,0.371586303550037,-0.31929598673165877
1,1,1,1,1,1,2,3,5,1,0,7,1,2,1,1,Eastern,0.998285804354393,1.0073761227189837
1,1,1,1,1,1,2,2,3,1,0,4,1,5,1,1,Eastern,0.469036916641535,1.0073761227189837
1,0,1,1,1,1,2,1,12,2,0,2,1,5,1,1,Eastern,0.38237997961105,0.4077488558446815
1,0,1,0,0,0,2,0,13,1,1,2,1,4,2,1,Eastern,0.716928181976346,-1.3322879951954447
1,1,1,1,1,1,1,2,12,1,1,6,1,4,1,1,Eastern,0.739856000778418,1.0073761227189837
1,1,1,1,1,1,1,1,4,1,1,4,1,4,1,2,Eastern,0.938073833283071,1.0073761227189837
1,1,0,1,1,1,1,2,5,1,1,7,1,4,1,1,Eastern,0.938985999478088,1.0073761227189837
1,0,1,0,1,1,2,1,3,1,0,1,1,1,3,2,Eastern,1.10085019166901,-0.31929598673165877
1,0,0,1,1,1,1,2,4,2,1,6,1,1,3,2,Eastern,0.477007638714888,0.4077488558446815
1,0,1,1,1,1,1,2,6,2,1,6,1,3,6,2,Eastern,0.477007638714888,0.4077488558446815
0,0,1,0,0,1,2,1,14,1,0,3,1,0,1,2,Eastern,0.962087547622611,-0.8119912597841162
1,1,1,0,0,1,1,2,15,2,1,4,1,2,1,1,Eastern,1.06437169773943,-0.350184702862402
1,0,0,0,0,1,2,2,8,2,1,3,1,3,1,1,Eastern,2.01380336134761,-0.8119912597841162
1,1,1,1,1,1,2,2,10,2,1,6,1,2,1,1,Eastern,0.954015277429776,1.0073761227189837
1,1,1,1,1,1,2,1,10,2,0,5,1,4,1,2,Eastern,0.683779307008508,1.0073761227189837
